"sitdate","sector","vjs_3m_w","n_w","vjs_rate"
2016-12-01,"Public",58872.1514660744,6906523.82943354,0.00852413644258764
2017-03-01,"Private",234195.573895642,23681286.794654,0.00988947838546135
2017-03-01,"Public",45628.7364195492,6885135.67166012,0.00662713686345521
2017-06-01,"Private",217953.561848478,23616441.8716307,0.00922889074625144
2017-06-01,"Public",47265.2915656673,6927399.15265611,0.00682294906415848
2017-09-01,"Private",258685.854371856,23831459.7719949,0.0108548052384037
2017-09-01,"Public",54402.1477034413,6903691.92870303,0.00788015286100138
2017-12-01,"Private",269668.419377268,24049102.2837464,0.0112132426481267
2017-12-01,"Public",62354.7144385218,6768396.59184033,0.00921262718465609
2018-03-01,"Private",188645.179945084,24050151.7309544,0.00784382493946109
2018-03-01,"Public",33212.9533634858,6848628.36371831,0.00484957740435101
2018-06-01,"Private",236048.75538102,23926118.3729833,0.00986573549880788
2018-06-01,"Public",56299.8213626523,7048415.88567645,0.00798758505114077
2018-09-01,"Private",266985.149867887,24114442.6970078,0.0110715869830579
2018-09-01,"Public",53083.9450194593,6875194.17497231,0.00772108302230941
2018-12-01,"Private",262477.254875965,24166504.7808501,0.0108612005441497
2018-12-01,"Public",51266.0293137574,6956288.9568409,0.00736973832338316
2019-03-01,"Private",188327.59233046,24165727.4112449,0.00779316877682011
2019-03-01,"Public",39256.5879972872,7051179.63954425,0.00556737879391547
2019-06-01,"Private",240079.95856409,24186142.2665688,0.00992634360279686
2019-06-01,"Public",42641.310699961,7062892.15814949,0.0060373724736487
2019-09-01,"Private",204202.714930377,24212544.4062911,0.00843375696101231
2019-09-01,"Public",64374.989053049,7033022.70266658,0.00915324630313524
2019-12-01,"Private",226117.764473865,24254726.6954068,0.00932262677347278
2019-12-01,"Public",39184.7137193156,7030072.89179195,0.00557387018917916
2020-03-01,"Private",287296,24277265,0.0118339524654033
2020-03-01,"Public",51407,7323321,0.00701962948230728
2020-06-01,"Private",228876,24107842,0.00949384022012422
2020-06-01,"Public",36889,7397665,0.00498657346608693
2020-09-01,"Private",229500,23770535,0.00965481004108658
2020-09-01,"Public",58658,7412093,0.00791382407101476
2020-12-01,"Private",219659,23557272,0.00932446677187409
2020-12-01,"Public",38936,7424414,0.00524431961902987
2021-03-01,"Private",134171,23170845,0.00579050958219262
2021-03-01,"Public",46912,7601572,0.0061713550828697
2021-06-01,"Private",225490,23294056,0.00968015188080599
2021-06-01,"Public",66064,7528307,0.00877541258612328
2021-09-01,"Private",270083,23326247,0.0115785021053751
2021-09-01,"Public",77786,7604698,0.0102286770625211
2021-12-01,"Private",318010,23480825,0.0135433912564827
2021-12-01,"Public",69064,7571358,0.00912174539890994
